iter	Passed	Remaining
193	754	1189
194	758	1186
195	762	1183
196	766	1178
197	769	1173
198	773	1170
199	777	1165
200	780	1160
201	783	1155
202	787	1152
203	791	1148
204	795	1144
205	799	1140
206	803	1137
207	807	1133
208	810	1129
209	814	1124
210	817	1120
211	822	1116
212	825	1112
213	829	1107
214	833	1105
215	837	1101
216	841	1097
217	845	1093
218	849	1089
219	852	1085
220	856	1081
221	861	1078
222	864	1074
223	867	1069
224	871	1065
225	876	1062
226	880	1059
227	883	1054
228	887	1049
229	891	1046
230	893	1040
231	897	1036
232	900	1032
233	905	1028
234	908	1024
235	912	1021
236	916	1016
237	921	1014
238	924	1010
239	928	1005
240	932	1002
241	935	997
242	939	993
243	943	989
244	946	985
245	950	980
246	953	976
247	956	972
248	960	968
249	964	964
250	967	960
251	971	955
252	974	951
253	978	947
254	981	943
255	985	938
256	988	934
257	992	930
258	995	926
259	999	922
260	1002	918
261	1005	913
262	1009	909
263	1013	906
264	1016	901
265	1020	897
266	1024	894
267	1027	889
268	1031	885
269	1034	881
270	1038	877
271	1041	873
272	1045	869
273	1048	864
274	1052	861
275	1056	857
276	1060	853
277	1063	849
278	1068	846
279	1072	842
280	1075	838
281	1078	834
282	1083	830
283	1086	826
284	1091	823
285	1094	819
286	1099	815
287	1103	812
288	1106	807
289	1108	802
290	1112	798
291	1115	794
292	1119	791
293	1123	787
294	1127	783
295	1131	779
296	1134	775
297	1137	771
298	1141	767
299	1145	763
300	1149	759
301	1152	755
302	1156	751
303	1160	748
304	1167	746
305	1172	743
306	1176	739
307	1180	736
308	1185	732
309	1190	729
310	1194	726
311	1198	721
312	1202	718
313	1205	714
314	1209	710
315	1212	706
316	1216	702
317	1220	698
318	1223	694
319	1227	690
320	1231	686
321	1235	682
322	1238	678
323	1242	674
324	1246	671
325	1249	667
326	1252	662
327	1255	658
328	1259	654
329	1263	651
330	1267	647
331	1271	643
332	1275	639
333	1278	635
334	1282	631
335	1286	627
336	1290	624
337	1294	620
338	1298	616
339	1301	612
340	1305	608
341	1309	604
342	1313	601
343	1316	597
344	1320	593
345	1324	589
346	1328	585
347	1332	582
348	1336	578
349	1340	574
350	1344	570
351	1348	566
352	1352	563
353	1356	559
354	1360	555
355	1364	551
356	1368	548
357	1372	544
358	1375	540
359	1379	536
360	1383	532
361	1387	528
362	1391	525
363	1396	521
364	1400	518
365	1404	514
366	1408	510
367	1413	506
368	1417	503
369	1421	499
370	1425	495
371	1430	492
372	1433	488
373	1437	484
374	1442	480
375	1445	476
376	1448	472
377	1452	468
378	1456	464
379	1459	461
380	1463	457
381	1467	453
382	1472	449
383	1476	445
384	1479	441
385	1484	438
386	1487	434
387	1491	430
388	1494	426
389	1499	422
390	1503	419
391	1507	415
392	1512	411
393	1516	407
394	1521	404
395	1525	400
396	1529	396
397	1532	392
398	1536	388
399	1539	384
400	1543	380
401	1546	377
402	1549	372
403	1552	368
404	1557	365
405	1560	361
406	1563	357
407	1565	353
408	1568	349
409	1573	345
410	1576	341
411	1579	337
412	1582	333
413	1587	329
414	1590	325
415	1593	321
416	1596	317
417	1599	313
418	1603	310
419	1606	306
420	1609	302
421	1613	298
422	1617	294
423	1620	290
424	1623	286
425	1627	282
426	1630	278
427	1633	274
428	1637	270
429	1640	267
430	1643	263
431	1647	259
432	1651	255
433	1654	251
434	1658	247
435	1662	244
436	1666	240
437	1670	236
438	1673	232
439	1677	228
440	1681	225
441	1685	221
442	1689	217
443	1693	213
444	1696	209
445	1700	205
446	1704	202
447	1708	198
448	1712	194
449	1715	190
450	1718	186
451	1722	182
452	1725	179
453	1728	175
454	1731	171
455	1735	167
456	1738	163
457	1742	159
458	1745	155
459	1748	152
460	1753	148
461	1756	144
462	1759	140
463	1763	136
464	1766	132
465	1770	129
466	1773	125
467	1777	121
468	1780	117
469	1784	113
470	1787	110
471	1791	106
472	1795	102
473	1798	98
474	1802	94
475	1805	91
476	1809	87
477	1813	83
478	1816	79
479	1819	75
480	1823	72
481	1827	68
482	1830	64
483	1834	60
484	1838	56
485	1842	53
486	1846	49
487	1849	45
488	1854	41
489	1857	37
490	1861	34
491	1864	30
492	1868	26
493	1872	22
494	1875	18
495	1879	15
496	1882	11
497	1886	7
498	1889	3
499	1893	0
