iter	MAE
287	0.09801197831
288	0.09783294389
289	0.09770483612
290	0.09752847786
291	0.09722043268
292	0.09716908889
293	0.09707833804
294	0.09693104157
295	0.09680549711
296	0.09672173286
297	0.0966279093
298	0.09653539598
299	0.09641355266
300	0.09637459882
301	0.09627263471
302	0.09620981406
303	0.09614228584
304	0.09601716107
305	0.09591710496
306	0.09565363247
307	0.09545297227
308	0.0954082399
309	0.09532618083
310	0.09526382166
311	0.09503097326
312	0.09472488726
313	0.09462580029
314	0.09444267089
315	0.09421131013
316	0.09413632157
317	0.09395026091
318	0.09370728718
319	0.09341680174
320	0.09333831246
321	0.09324751827
322	0.09314270105
323	0.09294025575
324	0.09280749204
325	0.09274588316
326	0.09249506335
327	0.09244822053
328	0.09235906407
329	0.09219163807
330	0.09209255418
331	0.09189391964
332	0.09180125752
333	0.09162688552
334	0.09148631594
335	0.09136789562
336	0.09124089059
337	0.09116613945
338	0.09096444797
339	0.09075860676
340	0.09053631261
341	0.09047414768
342	0.09041515779
343	0.09037841899
344	0.09034392016
345	0.09030386922
346	0.09023008414
347	0.09018387038
348	0.09012626562
349	0.09003395662
350	0.08995717799
351	0.08988049808
352	0.08984072102
353	0.08975394636
354	0.08962816576
355	0.08959183526
356	0.08957333725
357	0.08942517573
358	0.08938295695
359	0.089203369
360	0.08913149323
361	0.08898225109
362	0.0888958913
363	0.08882986964
364	0.08867403614
365	0.08863121692
366	0.08861677628
367	0.0885863976
368	0.08839536122
369	0.08824730022
370	0.08814980955
371	0.08807912845
372	0.08799969461
373	0.08787847485
374	0.08785390935
375	0.08773602223
376	0.08768551464
377	0.0876473555
378	0.08753216405
379	0.08750155541
380	0.08743678558
381	0.08723837344
382	0.08719964866
383	0.0871830286
384	0.08702777063
385	0.08666459511
386	0.08656906753
387	0.08640462517
388	0.08634921821
389	0.08626421997
390	0.08615570841
391	0.08603290596
392	0.08597893007
393	0.08575051685
394	0.08570305225
395	0.08567355027
396	0.08555876075
397	0.08531182196
398	0.08523374583
399	0.08514035774
400	0.08504911467
401	0.08503448456
402	0.08502136296
403	0.08497357399
404	0.08491105128
405	0.08485894876
406	0.08478485034
407	0.0847699787
408	0.08472393007
409	0.08467887182
410	0.0846555175
411	0.08455660816
412	0.08449601252
413	0.08430176186
414	0.08407298504
415	0.08400510521
416	0.08389733235
417	0.08379683044
418	0.08353769311
419	0.08345990491
420	0.08312181258
421	0.08300643359
422	0.0829104687
423	0.08270031694
424	0.08251529221
425	0.08234073504
426	0.0822743403
427	0.08205715087
428	0.08189204833
429	0.08181543499
430	0.08150932922
431	0.0814015502
432	0.08129625938
433	0.08122578049
434	0.08120828329
435	0.08112043501
436	0.08108199182
437	0.08079014929
438	0.08074264281
439	0.08064789139
440	0.08059824862
441	0.08053411268
442	0.08039653119
443	0.08034680065
444	0.08030658746
445	0.08028690604
446	0.08019001208
447	0.08016343633
448	0.08009160584
449	0.08007276647
450	0.08005899611
451	0.07994825436
452	0.07988080302
453	0.0797793087
454	0.07971660096
455	0.07965129182
456	0.07956228536
457	0.07955038227
458	0.07946856483
459	0.0792991557
460	0.07927253905
461	0.0792020708
462	0.079185112
463	0.07899699489
464	0.07893461716
465	0.07888296936
466	0.07879628762
467	0.07876126411
468	0.07852522926
469	0.07845659016
470	0.07843303518
471	0.07838677428
472	0.07836673882
473	0.07834094773
474	0.07828582748
475	0.07823814242
476	0.07815269354
477	0.07811890947
478	0.07802822317
479	0.07797998275
480	0.07787736947
481	0.0777786969
482	0.07766789216
483	0.07753790339
484	0.0775005825
485	0.07745592575
486	0.07743984745
487	0.07739563993
488	0.07715910566
489	0.07709684491
490	0.0770688477
491	0.07704727943
492	0.07701456753
493	0.07698384471
494	0.07689057198
495	0.07681915193
496	0.07675028672
497	0.07672686108
498	0.07670076563
499	0.07665746279
